2026-07-28 02:58:42 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:58:48 | INFO     | Dokument RG-2026-0002 gespeichert
2026-07-28 02:58:48 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:58:48 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:58:51 | INFO     | Dokument RG-2026-0002 gespeichert
2026-07-28 02:58:51 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:58:51 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:58:53 | INFO     | Dokument RG-2026-0002 gespeichert
2026-07-28 02:58:53 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:58:53 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:59:02 | INFO     | Dokument RG-2026-0002 gespeichert
2026-07-28 02:59:02 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:59:02 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG-2026-0002_20260728.pdf
2026-07-28 02:59:30 | INFO     | Anwendung wird beendet
2026-07-28 03:01:03 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 03:01:15 | INFO     | Rabatt-Typ geändert: €
2026-07-28 03:01:17 | INFO     | Dokument RG-2026-0002 gespeichert
